order_id,order_date,customer_id,product,region,sales_channel,quantity,unit_price,discount_pct,sales_amount,cost_amount,profit,profit_margin_pct,year,month,month_name,quarter
100001,2024-04-12,3613,Headphones,East,Marketplace,4,86.73,4.41,331.62,196.96,134.66,40.61,2024.0,4.0,April,2.0
100002,2024-12-14,1530,Monitor,South,Online,4,285.16,22.7,881.71,579.01,302.7,34.33,2024.0,12.0,December,4.0
100003,2024-09-27,3007,Smartwatch,East,Store,3,196.47,1.46,580.8,470.2,110.6,19.04,2024.0,9.0,September,3.0
100004,2024-04-16,3540,Laptop,West,Marketplace,3,688.41,9.37,1871.72,1225.64,646.08,34.52,2024.0,4.0,April,2.0
100005,2024-03-12,4622,Smartphone,North,Online,4,492.61,0.35,1963.54,1521.64,441.9,22.51,2024.0,3.0,March,1.0
100006,2024-07-07,4771,Keyboard,North,Marketplace,2,50.99,4.61,97.28,70.75,26.53,27.27,2024.0,7.0,July,3.0
100007,2024-01-21,4457,Laptop,North,Marketplace,1,837.73,24.06,636.17,461.58,174.59,27.44,2024.0,1.0,January,1.0
100008,2024-04-12,2220,Tablet,East,Marketplace,4,415.68,1.96,1630.13,1302.17,327.96,20.12,2024.0,4.0,April,2.0
100009,2024-05-01,1755,Monitor,South,Online,2,270.74,3.64,521.77,392.9,128.87,24.7,2024.0,5.0,May,2.0
100010,2024-08-02,3348,Smartphone,West,Online,2,474.55,23.12,729.67,455.86,273.81,37.53,2024.0,8.0,August,3.0
100011,2024-11-26,1815,Smartphone,East,Store,5,524.51,17.75,2157.05,1384.35,772.7,35.82,2024.0,11.0,November,4.0
100012,2024-03-28,3595,Smartphone,South,Online,6,563.73,10.17,3038.39,2224.79,813.6,26.78,2024.0,3.0,March,1.0
100013,2024-04-09,1727,Monitor,North,Online,1,206.37,1.72,202.82,165.64,37.18,18.33,2024.0,4.0,April,2.0
100014,2024-12-25,1731,Mouse,East,Marketplace,4,33.27,19.63,106.96,66.6,40.36,37.73,2024.0,12.0,December,4.0
100016,2024-05-10,3650,Smartwatch,West,Online,1,203.68,8.08,187.22,135.73,51.49,27.5,2024.0,5.0,May,2.0
100017,2024-05-29,2332,Tablet,South,Online,4,395.49,9.02,1439.27,910.81,528.46,36.72,2024.0,5.0,May,2.0
100018,2024-11-04,3047,Mouse,South,Store,7,29.7,12.63,181.64,155.92,25.72,14.16,2024.0,11.0,November,4.0
100019,2024-09-14,4324,Smartwatch,East,Marketplace,6,170.95,13.78,884.36,514.0,370.36,41.88,2024.0,9.0,September,3.0
100020,2024-12-09,4080,Laptop,North,Online,1,855.33,20.45,680.42,480.14,200.28,29.43,2024.0,12.0,December,4.0
100021,2024-10-20,3816,Smartwatch,East,Online,1,191.04,19.29,154.19,96.44,57.75,37.45,2024.0,10.0,October,4.0
100022,2024-07-10,1875,Keyboard,North,Store,2,51.56,19.18,83.34,64.24,19.1,22.92,2024.0,7.0,July,3.0
100023,2024-10-03,4280,Smartwatch,East,Online,7,192.93,18.23,1104.31,835.32,268.99,24.36,2024.0,10.0,October,4.0
100024,2024-06-09,3985,Smartphone,East,Online,1,527.57,18.94,427.65,344.65,83.0,19.41,2024.0,6.0,June,2.0
100025,2024-11-09,3179,Tablet,East,Store,1,339.99,16.94,282.4,208.34,74.06,26.23,2024.0,11.0,November,4.0
100026,2024-01-22,4808,Tablet,East,Online,6,383.51,21.7,1801.73,1140.53,661.2,36.7,2024.0,1.0,January,1.0
100027,2024-09-09,4781,Smartphone,North,Store,7,639.57,13.94,3852.9,2292.29,1560.61,40.5,2024.0,9.0,September,3.0
